CMDLINE python app.py
MEM 1.667969 1683885010.2285
MEM 17.980469 1683885010.3402
MEM 32.609375 1683885010.4486
MEM 72.367188 1683885010.5571
MEM 87.250000 1683885010.6646
MEM 98.304688 1683885010.7726
MEM 111.281250 1683885010.8818
MEM 124.527344 1683885010.9910
MEM 131.000000 1683885011.1006
MEM 136.328125 1683885011.2100
MEM 144.804688 1683885011.3200
MEM 150.531250 1683885011.4280
MEM 161.406250 1683885011.5374
MEM 174.656250 1683885011.6452
MEM 182.171875 1683885011.7534
MEM 191.031250 1683885011.8612
MEM 201.535156 1683885011.9708
MEM 206.390625 1683885012.0802
MEM 207.968750 1683885012.1882
MEM 209.156250 1683885012.2972
MEM 213.746094 1683885012.4072
MEM 224.226562 1683885012.5162
MEM 230.828125 1683885012.6250
MEM 238.542969 1683885012.7341
MEM 244.406250 1683885012.8448
MEM 252.617188 1683885012.9530
MEM 258.234375 1683885013.0620
MEM 258.234375 1683885013.1700
MEM 258.234375 1683885013.2784
MEM 258.234375 1683885013.3884
MEM 258.234375 1683885013.4966
MEM 258.234375 1683885013.6054
MEM 258.234375 1683885013.7138
MEM 258.234375 1683885013.8207
MEM 258.234375 1683885013.9323
MEM 258.234375 1683885014.0409
MEM 258.234375 1683885014.1504
MEM 258.234375 1683885014.2584
MEM 258.234375 1683885014.3671
MEM 258.234375 1683885014.4747
MEM 258.234375 1683885014.5830
MEM 258.234375 1683885014.6913
MEM 258.234375 1683885014.7996
MEM 258.234375 1683885014.9073
MEM 258.234375 1683885015.0143
MEM 258.234375 1683885015.1223
MEM 258.234375 1683885015.2296
MEM 258.234375 1683885015.3393
MEM 258.234375 1683885015.4486
MEM 258.234375 1683885015.5576
MEM 258.234375 1683885015.6676
MEM 258.234375 1683885015.7776
MEM 258.234375 1683885015.8866
MEM 258.234375 1683885015.9976
MEM 258.234375 1683885016.1076
MEM 258.234375 1683885016.2151
MEM 258.234375 1683885016.3236
MEM 258.234375 1683885016.4317
MEM 258.234375 1683885016.5427
MEM 258.234375 1683885016.6519
MEM 258.234375 1683885016.7599
MEM 258.234375 1683885016.8689
MEM 258.234375 1683885016.9799
MEM 258.234375 1683885017.0879
MEM 258.234375 1683885017.1969
MEM 258.234375 1683885017.3063
MEM 258.234375 1683885017.4149
MEM 258.234375 1683885017.5250
MEM 258.234375 1683885017.6363
MEM 258.234375 1683885017.7452
MEM 258.234375 1683885017.8545
MEM 258.234375 1683885017.9650
MEM 258.234375 1683885018.0750
MEM 258.234375 1683885018.1870
MEM 258.234375 1683885018.2970
MEM 258.234375 1683885018.4067
MEM 258.234375 1683885018.5155
MEM 258.234375 1683885018.6253
MEM 258.234375 1683885018.7353
MEM 258.234375 1683885018.8453
MEM 258.234375 1683885018.9563
MEM 258.234375 1683885019.0651
MEM 258.234375 1683885019.1751
MEM 258.234375 1683885019.2841
MEM 258.234375 1683885019.4548
MEM 258.234375 1683885019.5674
MEM 258.234375 1683885019.6779
MEM 258.234375 1683885019.7874
MEM 258.234375 1683885019.8976
MEM 258.234375 1683885020.0066
MEM 258.234375 1683885020.1165
MEM 258.234375 1683885020.2285
MEM 258.234375 1683885020.3389
MEM 258.234375 1683885020.4480
MEM 258.234375 1683885020.5556
MEM 258.234375 1683885020.6674
MEM 258.234375 1683885020.7768
MEM 258.234375 1683885020.8868
MEM 258.234375 1683885020.9948
MEM 258.234375 1683885021.1060
MEM 258.234375 1683885021.2158
MEM 258.234375 1683885021.3258
MEM 258.234375 1683885021.4350
MEM 258.234375 1683885021.5438
MEM 258.234375 1683885021.6518
MEM 258.234375 1683885021.7648
MEM 258.234375 1683885021.8688
MEM 258.234375 1683885021.9788
MEM 258.234375 1683885022.0895
MEM 258.234375 1683885022.1972
MEM 258.234375 1683885022.3058
MEM 258.234375 1683885022.4132
MEM 258.234375 1683885022.5213
MEM 258.234375 1683885022.6333
MEM 258.234375 1683885022.7443
MEM 258.234375 1683885022.8525
MEM 258.234375 1683885022.9593
MEM 258.234375 1683885023.0699
MEM 258.234375 1683885023.1797
MEM 258.234375 1683885023.2898
MEM 258.234375 1683885023.3999
MEM 258.234375 1683885023.5101
MEM 258.234375 1683885023.6192
MEM 258.234375 1683885023.7281
MEM 258.234375 1683885023.8361
MEM 258.234375 1683885023.9501
MEM 258.234375 1683885024.0575
MEM 258.234375 1683885024.1691
MEM 258.234375 1683885024.2811
MEM 258.234375 1683885024.3921
MEM 258.234375 1683885024.5042
MEM 258.234375 1683885024.6132
MEM 258.234375 1683885024.7222
MEM 258.234375 1683885024.8322
MEM 258.234375 1683885024.9432
MEM 258.234375 1683885025.0525
MEM 258.234375 1683885025.1615
MEM 258.234375 1683885025.2712
MEM 258.234375 1683885025.3795
MEM 258.234375 1683885025.4903
MEM 258.234375 1683885025.6023
MEM 258.234375 1683885025.7113
MEM 258.234375 1683885025.8213
MEM 258.234375 1683885025.9335
MEM 258.234375 1683885026.0439
MEM 258.234375 1683885026.1514
MEM 258.234375 1683885026.2633
MEM 258.234375 1683885026.3724
MEM 258.234375 1683885026.4814
MEM 258.234375 1683885026.5887
MEM 258.234375 1683885026.6964
MEM 258.234375 1683885026.8059
MEM 258.234375 1683885026.9145
MEM 258.234375 1683885027.0250
MEM 258.234375 1683885027.1329
MEM 258.234375 1683885027.2428
MEM 258.234375 1683885027.3521
MEM 258.234375 1683885027.4638
MEM 258.234375 1683885027.5758
MEM 258.234375 1683885027.6853
MEM 258.234375 1683885027.7938
MEM 258.234375 1683885027.9028
MEM 258.234375 1683885028.0139
MEM 258.234375 1683885028.1259
MEM 258.234375 1683885028.2359
MEM 258.234375 1683885028.3472
MEM 258.234375 1683885028.4554
MEM 258.234375 1683885028.5652
MEM 258.234375 1683885028.6762
MEM 258.234375 1683885028.7842
MEM 258.234375 1683885028.8942
MEM 258.234375 1683885029.0012
MEM 258.234375 1683885029.1117
MEM 258.234375 1683885029.2228
MEM 258.234375 1683885029.3312
MEM 258.234375 1683885029.4394
MEM 258.234375 1683885029.5493
MEM 258.234375 1683885029.6592
MEM 258.234375 1683885029.7702
MEM 258.234375 1683885029.8801
MEM 258.234375 1683885029.9891
MEM 258.234375 1683885030.0971
MEM 258.234375 1683885030.2051
MEM 258.234375 1683885030.3151
MEM 258.234375 1683885030.4231
MEM 258.234375 1683885030.5331
MEM 258.234375 1683885030.6441
MEM 258.234375 1683885030.7531
MEM 258.234375 1683885030.8625
MEM 258.234375 1683885030.9710
MEM 258.234375 1683885031.0801
MEM 258.234375 1683885031.1872
MEM 258.234375 1683885031.2972
MEM 258.234375 1683885031.4070
MEM 258.234375 1683885031.5172
MEM 258.234375 1683885031.6268
MEM 258.234375 1683885031.7359
MEM 258.234375 1683885031.8458
MEM 258.234375 1683885031.9558
MEM 258.234375 1683885032.0688
MEM 258.234375 1683885032.1748
MEM 258.234375 1683885032.2858
MEM 258.234375 1683885032.3968
MEM 258.234375 1683885032.5060
MEM 258.234375 1683885032.6130
MEM 258.234375 1683885032.7218
MEM 258.234375 1683885032.8308
MEM 258.234375 1683885032.9378
MEM 258.234375 1683885033.0468
MEM 258.234375 1683885033.1588
MEM 258.234375 1683885033.2679
MEM 258.234375 1683885033.3759
MEM 258.234375 1683885033.4860
MEM 258.234375 1683885033.5944
MEM 258.234375 1683885033.7030
MEM 258.234375 1683885033.8143
MEM 258.234375 1683885033.9241
MEM 258.234375 1683885034.0342
MEM 258.234375 1683885034.1407
MEM 258.234375 1683885034.2500
MEM 258.234375 1683885034.3604
MEM 258.234375 1683885034.4710
MEM 258.234375 1683885034.5790
MEM 258.234375 1683885034.6880
MEM 258.234375 1683885034.7991
MEM 258.234375 1683885034.9082
MEM 258.234375 1683885035.0182
MEM 258.234375 1683885035.1262
MEM 258.234375 1683885035.2342
MEM 258.234375 1683885035.3412
MEM 258.234375 1683885035.4512
MEM 258.234375 1683885035.5592
MEM 258.234375 1683885035.6664
MEM 258.234375 1683885035.7783
MEM 258.234375 1683885035.8892
MEM 258.234375 1683885035.9962
MEM 258.234375 1683885036.1082
MEM 258.234375 1683885036.2179
MEM 258.234375 1683885036.3262
MEM 258.234375 1683885036.4354
MEM 258.234375 1683885036.5433
MEM 258.234375 1683885036.6514
MEM 258.234375 1683885036.7612
MEM 258.234375 1683885036.8704
MEM 258.234375 1683885036.9808
MEM 258.234375 1683885037.0886
MEM 258.234375 1683885037.1986
MEM 258.234375 1683885037.3106
MEM 258.234375 1683885037.4216
MEM 258.234375 1683885037.5286
MEM 258.234375 1683885037.6396
MEM 258.234375 1683885037.7486
MEM 258.234375 1683885037.8595
MEM 258.234375 1683885037.9688
MEM 258.234375 1683885038.0785
MEM 258.234375 1683885038.1905
MEM 258.234375 1683885038.3029
MEM 258.234375 1683885038.4115
MEM 258.234375 1683885038.5225
MEM 258.234375 1683885038.6325
MEM 258.234375 1683885038.7416
MEM 258.234375 1683885038.8513
MEM 258.234375 1683885038.9598
MEM 258.234375 1683885039.0697
MEM 258.234375 1683885039.1817
MEM 258.234375 1683885039.2920
MEM 258.234375 1683885039.4038
MEM 258.234375 1683885039.5148
MEM 258.234375 1683885039.6248
MEM 258.234375 1683885039.7338
MEM 258.234375 1683885039.8408
MEM 258.234375 1683885039.9528
